#CharNo	Charactor name	Event name	hash-a	hash-p	hash-d	hash-w	sel1	sel1-effect	sel2	sel2-effect	sel3	sel3-effect	sel4	sel4-effect	sel5	sel5-effect
1	[スペシャルドリーマー]スペシャルウィーク(育成)	あなたと行きたい場所					遊園地とか？	賢さ+10	山登りとか？	スタミナ+10						
1	[スペシャルドリーマー]スペシャルウィーク(育成)	あんし～ん笹針師、参☆上	010131bdf9fd0101	aa1530f2cf1fce21	7b9f63696369efbb	0101bdfdfdfd0103	強いウマ娘になれる秘孔を狙う	【成功時】 全ステ+20 【失敗時】 やる気-1 全ステ-15 「夜ふかし気味」	レースで勝てる秘孔を狙う	【成功時】 「コーナー回復〇」 「直線回復」\n 【失敗時】 やる気-1 体力-20	元気で健康になれる秘孔を狙う	【成功時】 体力最大値+12 体力+40\n【失敗時】 やる気-1 体力-20 「練習ベタ」	魅力アップの秘孔を狙う	【成功時】 体力+20 やる気+1 「愛嬌〇」\n【失敗時】 やる気-1 体力-10	不安なのでやめておく	体力+10
1	[スペシャルドリーマー]スペシャルウィーク(育成)	お大事に！	01c1c1c1c1c10101	a8f00f0f1c0ff9f0	7f9f979f9f17fffb	03c3e3e3c7c70303	今日はもう休もうか	【失敗時】 やる気-1 直前のトレーニング種別-5～10 確率で「練習ベタ」\n【成功時】 「練習上手○」	次は気を付けよう	【失敗時】 やる気-1 直前のトレーニング種別-5～10 確率で「練習ベタ」\n【成功時】 「練習上手○」						
1	[スペシャルドリーマー]スペシャルウィーク(育成)	カラオケグルメ	010161f1f1f10101	aa5119cee0f1c71e	ffbfc787af679bfb	0303f3f3f3f30303	みんなのためにも英気を養おう	体力+10	みんなのためにも我慢で乗り越えよう	パワー+10						
1	[スペシャルドリーマー]スペシャルウィーク(育成)	ダンスレッスン	010181e1e1e10101	aa1f1cc0e33fe618	ffff2f4b8b8b7fbb	0307e3f3f3e30303	君たしく元気よく踊るのが1番だ	根性+10	曲とシンクロさせて踊るのが大事	スタミナ+10						
1	[スペシャルドリーマー]スペシャルウィーク(育成)	ポーズはどうする？	8098f8f8f8388000	efd83637603480db	2f33733353631d7b	81b9f9f9f8b98101	たぎる思いをそのまま出せばいいよ	パワー+20	ライバルを意識したポーズがいいかも	スキルPt+40						
1	[スペシャルドリーマー]スペシャルウィーク(育成)	もう少しだけ					末脚のコツを掴もう	「末脚」ヒントLv+1	コーナリングのコツを掴もう	「コーナー巧者○」ヒントLv+1						
1	[スペシャルドリーマー]スペシャルウィーク(育成)	レース勝利！	01016161e1610101	aa1e1ef3e101e13e	ff7fdfdbdbdbffbb	030763e3e7e70707	よくやったな！	体力-15 ランダム1種+5～10 スキルPt30～50 ランダムヒント	油断は禁物だぞ	体力-5～20 ランダム1種+5～10 スキルPt+30～50 ランダムヒント						
1	[スペシャルドリーマー]スペシャルウィーク(育成)	レース入着	010161e1e1610103	aa1c1ef3f801e13e	ff7fdfdf97d7ffbf	070367e7e3e70307	毎日頑張っている証拠だ！	体力-20 ランダム1種+3～7 スキルPt+30～50 ランダムヒント	もっと頑張らないとな	体力-10～40 ランダム1種+5～10 スキルPt+30～50 ランダムヒント						
1	[スペシャルドリーマー]スペシャルウィーク(育成)	レース敗北	01014161e1610101	aa1e1ef3f001e13e	ff7f9f9797d77fbb	030763e3e7e70707	でもよく頑張った	体力-25 ランダム1種+3～5 スキル+10～25	失敗をバネにしよう	体力-15～35 ランダム1種+4 スキルpt+10～25						
